Id,Clientes,Transacción,Categoría,Descripción,Precio,TipoContrato,Superficie,Área,Dirección,ÁreaInterior,Habitaciones,Baños,Edad,Edad_prom,Piso,Administración,Barrio,Estrato,Garages,Extras,Latitud,Longitud,PrecioM2,Ascensor,Depósito,ModifyDate,Link
90,Diana Villamil,Venta,Apartamento,"Apartamento con ubicación en Pasadena diagonal a Iglesia Santo Domingo Savio, Iluminado, altura de 3,40mts, cocina abierta con horno microondas y lavaplatos eléctrico, área Social se compone de sala y comedor independiente con chimenea. Consta de 3 habitaciones, la principal con Baño y Jacuzzi, Estudio, cuarto de lavandería, incluye  terraza de 74 mts, depósito y 3 parqueaderos.",820000000,Particular,188,188,CR 51 103B - 60,"188,00 m2",3,3,1 a 8 años,4.5,5,0,Pasadena,5,3,"Interiores$Balcón, Barra estilo americano, Calentador, Chimenea, Cocina Integral, Cocina tipo Americano, Depósito / Bodega, Estudio, Hall de Alcobas, Instalación de gas, Sauna / Turco / Jacuzzi, Zona de lavandería|Exteriores$Ascensor, Circuito cerrado de TV, En conjunto cerrado, Garaje(s), Jardín, Parqueadero Visitantes, Portería / Recepción, Salón Comunal, Terraza, Vigilancia|del Sector$Parques cercanos, Sobre vía principal, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial|#Apartamento#$PentHouse",4.692749977111821,-74.06166076660159,4361702.13,1,1,3/23/2021 2:50:24 AM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6184316.aspx
91,Jaan Céspedes,Venta,Apartamento,Acabados de lujo 5 piso con ascensor garage doble deposito,370000000,Particular,57,57,Cra 51 102a 63,,1,2,,0.0,5,0,Pasadena,5,2,Exteriores$Ascensor,4.690890789031981,-74.06175231933591,6491228.07,1,0,3/16/2021 3:33:02 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6158607.aspx
92,Jimena Mayorga,Venta,Apartamento,Amplio y agradable apartamento de 1 alcoba 1 estudio 2 baños zona central cerca a todo barrio con todo lo necesario cerca a trasmilenio suba y autopista,380000000,Particular,64,64,Cr 51 #104b-86 ,,1,2,1 a 8 años,4.5,0,285000,Pasadena,0,1,"Interiores$Balcón, Baño Auxiliar, Barra estilo americano, Calentador, Citófono, Cocina Integral, Comedor auxiliar, Estudio, Instalación de gas, Zona de lavandería|Exteriores$Parqueadero Visitantes, Portería / Recepción, Salón Comunal, Vigilancia|del Sector$Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial",4.694489002227781,-74.0613098144531,5937500.0,0,0,3/6/2021 10:31:13 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6158569.aspx
93,TU LUGAR,Venta,Apartamento,"Penthouse Pasadena Venta,  Interior,  134 m2 más  35 m2 terraza,   5 años. Amplia zona social sala con chimenea a gas y comedor con salida a balcón,  baño social,  cocina abierta,  zona de ropas,  3 alcobas cada una con baño privado y principal con walk in closet. 2 parqueaderos en línea y dos depósitos.  Edificio con  Terraza BBQ  con baño,  Parqueaderos visitantes,  Salón Social. Seguridad 24 hs. Se escuchan ofertas..",950000000,Professional,169,169,Cra 51  104-11,"134,00 m2",3,4,1 a 8 años,4.5,18,910000,Pasadena,18,2,"Interiores$Balcón, Baño Auxiliar, Barra estilo americano, Calentador, Chimenea, Citófono, Cocina Integral, Depósito / Bodega, Hall de Alcobas, Instalación de gas, Zona de lavandería|Exteriores$Ascensor, Circuito cerrado de TV, Garaje(s), Parqueadero Visitantes, Portería / Recepción, Salón Comunal, Terraza, Vigilancia|del Sector$Parques cercanos, Trans. Público cercano, Zona Residencial|#Apartamento#$Duplex, PentHouse",0.0,0.0,5621301.78,1,1,3/22/2021 1:36:15 AM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6062288.aspx
94,Johanna Moreno,Venta,Apartamento,"Amplio. Iluminado, Cita Previa, Precio Negociable",565000000,Particular,94,94,CARRERA 51 102A,,2,3,,0.0,0,0,Pasadena,0,2,,4.69076013565063,-74.0620498657227,6010638.3,0,0,3/6/2021 5:37:43 AM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6157305.aspx
95,Johanna Moreno,Venta,Apartamento,"Amplio, Iluminado, Cita Previa, Precio Negociable",290000000,Particular,43,43,CARRERA 50 102A,,1,1,,0.0,0,0,Pasadena,0,1,,4.69022989273071,-74.06141662597659,6744186.05,0,0,3/6/2021 5:35:28 AM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6157304.aspx
96,Johanna Moreno,Venta,Apartamento,"Amplio, Iluminado, Cita Previa, Precio Negociable",430000000,Particular,66,66,CALLE 105 49,,2,2,,0.0,0,0,Pasadena,0,2,,4.693860054016111,-74.0598220825195,6515151.52,0,0,3/6/2021 5:22:27 AM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6157301.aspx
97,Johanna Moreno,Venta,Apartamento,"Amplio, Iluminado, Cita Previa, Precio Negociable",380000000,Particular,64,64,CARRERA 50 103B,,2,2,,0.0,0,0,Pasadena,0,1,,4.69229984283447,-74.0610733032227,5937500.0,0,0,3/6/2021 2:58:42 AM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6157141.aspx
98,Johanna Moreno,Venta,Apartamento,"Amplio, iluminado, Cita Previa, Precio Negociable",395000000,Particular,88,88,CALLE 106 52,,2,3,,0.0,0,0,Pasadena,0,1,,4.694910049438481,-74.06236267089841,4488636.36,0,0,3/6/2021 2:56:10 AM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6157135.aspx
99,JOHANNA MORENO,Venta,Apartamento,"Amplio, Iluminado, Cita Previa, Precio Negociable",482000000,Particular,106,106,CALLE 108 47,,3,3,,0.0,0,0,Pasadena,0,2,,4.69593000411987,-74.05812072753909,4547169.81,0,0,3/6/2021 2:25:42 AM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6157073.aspx
100,Camilo  Gamba,Venta,Apartamento,"Amplio, Iluminado, Cita Previa, Precio Negociable",270000000,Particular,53,53,Carrera 51 103B,,2,2,,0.0,0,0,Pasadena,0,1,,4.69219017028809,-74.0618133544922,5094339.62,0,0,3/6/2021 1:58:41 AM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6157024.aspx
101,Isa Inmobiliaria Ltda.,Venta,Apartamento,"Vendo hermoso apartamento de 135 metros de construido en Pasadena,  séptimo piso,  consta de 3 alcobas,  Principal con vestier y baño privado,  alcoba auxiliar con baño privado,  alcoba auxiliar y baño auxiliar,  baño social,  sala comedor con chimenea,  estudio con balcón,  cocina integral,  zona de lavanderia,  dos garajes y deposito,  vigilancia las 24 horas..",700000000,Professional,135,135,Carrera 53 # 107 - 35 Apto 703 Edificio Cipres de Pasadena,"123,00 m2",3,4,16 a 30 años,23.0,0,540000,Pasadena,0,2,"Interiores$Balcón, Baño Auxiliar, Calentador, Chimenea, Citófono, Cocina Integral, Estudio, Hall de Alcobas, Instalación de gas, Piso en Madera, Shut de basura, Zona de lavandería|Exteriores$Ascensor, En conjunto cerrado, Garaje Cubierto, Parqueadero Visitantes, Portería / Vigilancia, Salón Comunal, Tanques de Agua, Vigilancia privada 24*7, Zonas Verdes|del Sector$Área Urbana, Bombas de gasolina, Cerca de Zona Urbana, Cómodas vias de acceso, Sobre vía secundaria, Supermercados / C.Comerciales, Trans. Público cercano, Zona Comercial, Zona Residencial",4.69700002670288,-74.06300354003909,5185185.19,1,0,3/14/2021 11:29:10 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6180459.aspx
102,INMOBILIARIA SANTA BARBARA LTDA,Venta,Apartamento,"Linda casa amplia de 400 M2 privados. 2 Niveles, : 1 Nivel 2 zonas sociales,  chimenea,  bar,  comedor principal,  cocina amplia integral a gas. zona lavandería, cuarto de servicio,  3 parqueaderos internos,  2 parqueaderos externos,  2 baños,  pisos cerámica,  paredes en veneciano,  piedra y piedra imitación escaleras en mármol con fuente. 2 nivel: Hall de habitaciones en piso laminado en madera,  cinco habitaciones,  1 estudio,  2 baños privados,  1 baño social estudio,  patio de ropas,  terraza cubierta.  $2.",2200000000,Professional,400,400,CALLE 101 A  47-12,"400,00 m2",5,5,16 a 30 años,23.0,0,0,Pasadena,0,3,"Interiores$Alarma, Calentador, Chimenea, Cocina Integral, Comedor auxiliar, Cuarto de Servicio, Estudio, Hall de Alcobas, Instalación de gas, Patio, Piso en Baldosa /  Mármol, Zona de lavandería|del Sector$Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial",4.68832015991211,-74.0592575073242,5500000.0,0,0,3/23/2021 6:28:15 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-5881173.aspx
103,Al Punto,Venta,Apartamento,Hermoso Apartamento Dúplex de 209 M² Remodelado Primer piso 124.6 M² Segundo Piso 81 M² Barrio: Pasadena 4 Habitaciones Grandes con closet + la de servicio  Habitación principal con un Solar exclusivo Cada habitación tiene baño 5 Baños - 1 con Tina Pisos en Mármol y #Madera  1Depósito  4Parqueaderos propios cubiertos Estrato: 5 Valor #administración $888.000 #Venta  $980.000.000.,980000000,Professional,209,209,calle 104  51 - 30,"208,00 m2",5,5,16 a 30 años,23.0,6,888000,Pasadena,6,4,"Interiores$Baño Auxiliar, Baño de Servicio, Calentador, Citófono, Cocina Integral, Comedor auxiliar, Cuarto de Servicio, Depósito / Bodega, Estudio, Hall de Alcobas, Instalación de gas, Piso en Baldosa /  Mármol, Sauna / Turco / Jacuzzi, Zona de lavandería|Exteriores$Ascensor, Circuito cerrado de TV, Garaje(s), Parqueadero Visitantes, Portería / Recepción, Vigilancia|del Sector$Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial|#Apartamento#$Duplex",4.69336605072021,-74.0619583129883,4688995.22,1,1,3/5/2021 7:50:36 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6090755.aspx
104,Al Punto,Venta,Apartamento,"Se vende apartamento,  excelente ubicación estratégica en el barrio pasadena cuenta con 3 habitaciones,  2 baños,  habitación de servicio con baño,  cocina integral a gas,  hornoeléctrico,  calentador a gas,  zona de lavandería,  chimenea,  estudio,  2 parqueaderos,  el edificio NO TIENE ASCESOR,  EL INMUEBLE ESTA UBICADO EN EL PISO 5,  salón comunal,  plazoleta,  vigilancia 24 horas cerca club Ecopetrol,  estación suba calle 100,  Puentelargo,  3 elefantes,  iserra 100,  acceso sistema de transporte.",450000000,Professional,110,110,calle 103 a  51 - 49,"110,00 m2",3,2,9 a 15 años,12.0,5,550000,Pasadena,5,2,"Interiores$Baño Auxiliar, Baño de Servicio, Calentador, Chimenea, Citófono, Cocina Integral, Cuarto de Servicio, Depósito / Bodega, Estudio, Instalación de gas, Piso en Baldosa /  Mármol, Zona de lavandería|Exteriores$En conjunto cerrado, Garaje(s), Parqueadero Visitantes, Portería / Recepción, Vigilancia, Zonas Verdes|del Sector$Colegios / Universidades, Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Comercial, Zona Residencial",4.69141530990601,-74.0623016357422,4090909.09,0,1,3/5/2021 7:50:37 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6089223.aspx
105,Inmobiliaria  Vival ,Venta,Apartamento,"Se vende apartamento de 85 mts en excelente estado, el apto consta de 2 alcobas  2 baños estudio cocina cerrada con lavavajillas equipos a gas piso de maderachimenea 2 garajes en líneadepósit ozonas sociales del edificio salón socialgimnasio",460000000,Particular,85,85,calle 107  52 - 49,,2,2,9 a 15 años,12.0,4,0,Pasadena,4,2,"Interiores$Balcón, Baño Auxiliar, Calentador, Chimenea, Citófono, Depósito / Bodega, Estudio, Hall de Alcobas, Instalación de gas|Exteriores$Ascensor, Garaje(s), Gimnasio, Parqueadero Visitantes, Portería / Recepción, Salón Comunal, Vigilancia|del Sector$Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial",4.69631004333496,-74.0623321533203,5411764.71,1,1,3/8/2021 1:52:11 AM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6155178.aspx
106,GRUPO INMOBILIARIO G15,Venta,Apartamento,"Vendo Pasadena,  esquinero,  exterior,  dos alcobas,  la principal con baño; baño social,  sala. comedor,  estudio,  cocina integral con gas,  zona de lavandería,  psos en madera laminada,  un garaje,  remodelado parcialmente,  ascensor,  cinco piso del edificio,  17 apartamentos,  salon social. Cerca estación de transmilenio. Contacto Francy Otalora Tres Trece Tres Cuarenta y Ocho Veintinueve Cero Cinco.",307000000,Professional,60,60,Calle 106 # 45 - 22,"60,00 m2",2,2,16 a 30 años,23.0,3,330000,Pasadena,3,1,"Interiores$Baño Auxiliar, Chimenea, Citófono, Closet, Cocina Equipada, Cocina Integral, Estudio, Instalación de gas, Shut de basura|Exteriores$Ascensor, Portería / Vigilancia, Salón Comunal, Vigilancia privada 24*7|del Sector$Cómodas vias de acceso, Parques cercanos, Sobre vía secundaria, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial",4.693999767303469,-74.056999206543,5116666.67,1,0,3/16/2021 3:42:34 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6185257.aspx
107,Maria Camila Vasquez Noriega,Venta,Apartamento,"Moderno apartamento con solo 1 año de uso en Pasadena. Cuenta con 2 habitaciones, 2 baños, 2 balcones, zona de ropas, cocina abierta, sala con chimenea a gas y walking closet, depósito y 1 garaje. Destaca por la luz natural y la vista al parque Está muy bien ubicado a pocas cuadras de la Cll 100, la Cra 68 y la Autopista Norte. Las zonas sociales del edificio: juegos infantiles, gimnasio, terraza,tepanyaki y BBQ, y salón comunal.",420000000,Particular,59,59,CALLE 102 A 16-42,"54,00 m2",2,2,1 a 8 años,4.5,2,290000,Pasadena,2,1,"Interiores$Balcón, Baño Auxiliar, Barra estilo americano, Calentador, Chimenea, Citófono, Cocina Integral, Cocina tipo Americano, Depósito / Bodega, Hall de Alcobas, Instalación de gas, Zona de lavandería|Exteriores$Ascensor, Garaje(s), Gimnasio, Parqueadero Visitantes, Portería / Recepción, Salón Comunal, Salón de Juegos, Terraza, Vigilancia, Vista panorámica, Zona Infantil|del Sector$Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial",4.6894154548645,-74.05836486816409,7118644.07,1,1,3/5/2021 5:46:57 AM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6153619.aspx
108,Inmobiliaria LGC,Venta,Apartamento,SE VENDE APARTAMENTO EN PASADENA PRIMER PISO 79.20 METROS PARQUEADERO PRIVADO SALA COMEDOR COCINA TRES ALCOBAS TRES BAÑOS  CERCA ESTACION PUENTELARGO  AV. SUBA NEGOCIABLE.,330000000,Professional,79,79,CALLE 106 No 51-60,"79,00 m2",3,3,Más de 30 años,40.0,1,369000,Pasadena,1,1,"Interiores$Baño Auxiliar, Citófono, Depósito / Bodega, Estudio, Instalación de gas, Zona de lavandería|Exteriores$Garaje(s), Portería / Recepción, Vigilancia, Vivienda Multifamiliar|del Sector$Colegios / Universidades, Parques cercanos, Sobre vía principal, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial",0.0,0.0,4177215.19,0,1,3/24/2021 10:23:08 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6156990.aspx
109,A12 Inversiones Inmobiliarias,Venta,Apartamento,"Apartamento exterior moderno en piso 2 con mucha luz y sol. Tiene sala comedor con balcon,  cocina abierta,  zona de lavanderia,  dos baños,  dos alacobas,  2 parqueaderos en linea y deposito. El edificio tiene 4 años de cosntruido,  tiene 2 salones sociales y una terraza con BBQ. Super bien ubicado con muy buenas vias de acceso.  Jaime Bravo  .",468500000,Professional,75,75,CR 51 102A 36,"75,00 m2",2,2,1 a 8 años,4.5,2,350000,Pasadena,2,0,"Interiores$Balcón, Baño Auxiliar, Baño Independiente, Calentador, Citófono, Closet, Cocina Integral, Depósito / Bodega, Instalación de gas, Zona de lavandería|Exteriores$Ascensor, Circuito cerrado de TV, Parqueadero Visitantes, Portería / Recepción, Salón Comunal, Vigilancia|del Sector$Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano",4.690508365631099,-74.0619277954102,6246666.67,1,1,3/18/2021 9:30:53 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6193458.aspx
110,Maria Victoria Rueda Dueñas,Venta,Apartamento,"apartamento en venta de 102 metros, 3 habitaciones, estudio, sala comedor, cocina abierta, pisos en laminado ,  muebles en madera que contrastan perfecto con pisos y cocina.   Apartamento en perfecto estado.  Depósito, zona de BBQ Y SAUNA dentro del edificio.   Excelente sector de Bogotá.   Equidistante a cualquier zona de Bogotá. ",520000000,Particular,102,102,Calle 102A  51-21 APTO 201 ,"102,00 m2",3,3,9 a 15 años,12.0,2,0,Pasadena,2,1,"Interiores$Alarma, Balcón, Baño Auxiliar, Barra estilo americano, Calentador, Chimenea, Citófono, Cocina Integral, Cocina tipo Americano, Depósito / Bodega, Estudio, Hall de Alcobas, Instalación de gas, Sauna / Turco / Jacuzzi, Zona de lavandería|Exteriores$Ascensor, Circuito cerrado de TV, Garaje(s), Parqueadero Visitantes, Portería / Recepción, Terraza, Vigilancia|del Sector$Colegios / Universidades, Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano|#Apartamento#$Duplex",0.0,0.0,5098039.22,1,1,3/6/2021 9:34:06 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6152224.aspx
111,Century 21 Abundanza,Venta,Apartamento,"Maravilloso apartamento en segundo piso. 109 metros. Sala-comedor amplios con chimenea,  patio con domo corredizo privado,  estudio amplio,  vista sobre calle con doble vidrio que aísla el sonido exterior. Edificio con ascensor desde parqueadero. Parqueadero cubierto en sótano. Vías de acceso: carreras 50 y 51,  avenida suba y Autopista norte y calle 103 B. Frente a carulla,  en la esquina de Auros copias,  cerca a centro comercial.Maravilloso apartamento en segundo piso. 109 metros. Sala-comedor amplios con chimenea,  patio con domo corredizo privado,  estudio amplio,  vista sobre calle con doble vidrio que aísla el sonido exterior. Edificio con ascensor desde parqueadero. Parqueadero cubierto en sótano. Vías de acceso: carreras 50 y 51,  avenida suba y Autopista norte y calle 103 B. Frente a carulla,  en la esquina de Auros copias,  cerca a centro comercial.Maravilloso apartamento en segundo piso. 109 metros. Sala-comedor amplios con chimenea,  patio con domo corredizo privado,  estudio amplio,  vista sobre",448000000,Professional,109,109,"Calle 103 B 51 - 41, Pasadena, Zona Noroccidente, Bogotá, Cundinamarca","109,00 m2",3,2,16 a 30 años,23.0,2,680000,Pasadena,2,1,"#All#$|Interiores$Ascensores Comunales, Baño Auxiliar, Baño Independiente, Calentador, Chimenea, Citófono, Closet, Cocina Integral, Con administrador, Estudio, Garaje Cubierto, Hall de Alcobas, Instalación de gas, Puerta de seguridad, Servicios Públicos, Shut de basura, Todos los Servicios, Ubicada en edificio, Zona de lavandería|Exteriores$Acceso Pavimentado, Ascensor, Baños Públicos, Circuito cerrado de TV, En Edificio, En zona Comercial, En zona residencial, Garaje Cubierto, Portería / Recepción, Portería / Vigilancia, Ubicada en edificio, Vigilancia, Vigilancia 24x7, Vigilancia privada 24*7|del Sector$Cerca a sector comercial, Cerca centro comercial, Colegios / Universidades, Cómodas vias de acceso, Parques cercanos, Seguridad, Sobre vía secundaria, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial",4.69145154953003,-74.0623779296875,4110091.74,1,0,3/5/2021 8:16:49 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6143178.aspx
112,PAOLA BAQUERO,Venta,Apartamento,"Apartamento en Venta NEGOCIABLE,  con vista exterior,  estudio,  cocina americana,  1 deposito,  2 parqueaderos y 2 balcones..",680000000,Professional,99,99,calle 106 54 15,,2,2,1 a 8 años,4.5,4,498000,Pasadena,4,2,"Interiores$Balcón, Baño Auxiliar, Barra estilo americano, Calentador, Citófono, Cocina Integral, Cocina tipo Americano, Depósito / Bodega, Estudio, Instalación de gas, Zona de lavandería|Exteriores$Ascensor, Circuito cerrado de TV, Garaje(s), Parqueadero Visitantes, Portería / Recepción, Vigilancia|del Sector$Colegios / Universidades, Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial",4.69462013244629,-74.0636520385742,6868686.87,1,1,3/4/2021 3:20:26 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-5901947.aspx
113,C & C Inversiones Inmobiliarias,Venta,Apartamento,"Apartamento de 118.6 m2 de construido,  iluminación natural,  ubicado en el quinto piso con ascensor,  consta de 3 alcobas con baño privado y closet (alcoba principal con balcón),  un baño social,  de sala comedor,  cocina integral a gas,  zona de lavandería,  2 parqueaderos cubiertos,  un deposito. Edificio cuenta con vigilancia 24x7 y ascensor..",670090000,Professional,118,118,Carrera 51 # 102A - 40 Edificio Altadena P.H Apto 502 Garaje 21 Y 22 Deposito 13,"118,00 m2",3,4,9 a 15 años,12.0,0,594000,Pasadena,0,2,"Interiores$Closet, Cocina Integral|Exteriores$Ascensor, Vigilancia privada 24*7|del Sector$Área Urbana, Cómodas vias de acceso, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial",4.69099998474121,-74.06199645996091,5678728.81,1,0,3/11/2021 9:49:08 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6171259.aspx
114,Fom Administradores & Asesores Inmobiliarios SAS,Venta,Apartamento,"Apartamento con 1 alcoba,  dos baños,  sala,  comedor, ,  cocina abierta,  cuarto de ropas,  chimenea a gas,  con puerta de seguridad,  gimnasio,  deposito y dos parqueaderos en servidumbre,  zona BBQ,  parqueadero de bicicletas,  parqueadero de visitantes,  esta ubicado en zona residencial y muy tranquila,  ubicado a una cuadra de la autopista norte,  tiene excelente entrada de luz natural. Excelente oportunidad. Se entrega con contrato de arrendamiento hasta Noviembre de 2021..",370000000,Professional,58,58,CRA 45 A 106 A - 35,"58,00 m2",1,2,1 a 8 años,4.5,3,411000,Pasadena,3,2,"Interiores$Balcón, Baño Auxiliar, Barra estilo americano, Calentador, Chimenea, Citófono, Cocina Integral, Cocina tipo Americano, Depósito / Bodega, Instalación de gas, Zona de lavandería|Exteriores$Ascensor, Circuito cerrado de TV, En conjunto cerrado, Garaje(s), Jardín, Parqueadero Visitantes, Portería / Recepción, Salón Comunal, Terraza, Vigilancia|del Sector$Parques cercanos, Sobre vía principal, Supermercados / C.Comerciales, Trans. Público cercano, Zona Comercial, Zona Residencial|#Apartamento#$Loft",4.69429397583008,-74.0572280883789,6379310.34,1,1,3/25/2021 1:41:41 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-5359562.aspx
115,Jaan Céspedes,Venta,Apartamento,Acabados de lujo 5 piso con ascensor garage doble deposito,370000000,Particular,57,57,Cra 51 102a 63,,1,2,,0.0,5,0,Pasadena,5,2,Exteriores$Ascensor,4.690890789031981,-74.06175231933591,6491228.07,1,0,3/16/2021 3:33:02 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6158607.aspx
116,Calpa,Venta,Apartamento,"Bonito apartamento interior,  con buena iluminación y ventilación. Esta ubicado a 3 calles de los 3 elefantes y Carulla..",370000000,Professional,70,70,carrera54-104a-26,"64,00 m2",2,2,9 a 15 años,12.0,3,432000,Pasadena,3,1,"Interiores$Balcón, Barra estilo americano, Calentador, Citófono, Cocina Integral, Cocina tipo Americano, Depósito / Bodega, Instalación de gas, Zona de lavandería|Exteriores$Ascensor, Circuito cerrado de TV, Garaje(s), Portería / Recepción, Vigilancia|del Sector$Colegios / Universidades, Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial",4.69348001480103,-74.0634002685547,5285714.29,1,1,3/13/2021 11:48:36 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-5860048.aspx
117,Daniel  Moncada,Venta,Apartamento,"Hermoso apartamento DUPLEX en 5°, con 2 habitaciones y un tercer nivel con estudio independiente, 3 baños, sala comedor con chimenea, cocina y patio de ropas, garaje y deposito. Super ubicado, sector tranquilo y seguro, edificio con ascensor y vigilancia privada.",390000000,Particular,76,76,Cr 53 103b,"76,00 m2",2,3,9 a 15 años,12.0,5,395000,Pasadena,5,1,"Interiores$Baño Auxiliar, Chimenea, Citófono, Cocina Integral, Depósito / Bodega, Estudio, Hall de Alcobas, Instalación de gas, Piso en Baldosa /  Mármol|Exteriores$Ascensor, Circuito cerrado de TV, Garaje(s), Portería / Recepción, Salón Comunal, Vigilancia, Vivienda Multifamiliar|del Sector$Parques cercanos, Sobre vía principal, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial|#Apartamento#$Duplex",4.69212055206299,-74.06256103515629,5131578.95,1,1,1/30/2021 10:17:15 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6051923.aspx
118,Accion Inmobiliaria,Venta,Apartamento,"ARRIENDO APARTAMENTO PASADENA,  VENTA APARTAMENTO PASADENA,  UN CUARTO PRINCIPAL GRANDE,  UNA HABITACION SECUNDARIA PEQUEÑACON SU CLOSSET. INTERIOR PERO CON MUCHA LUZ. SE ARRIENDA CON MUEBLES EN $1.500.000 MAS LA ADMINISTRACION. NO TIENE ASCENSOR..",270000000,Professional,55,55,CRA 53 106 -82,"50,00 m2",2,1,1 a 8 años,4.5,4,385000,Pasadena,4,1,"Interiores$Calentador, Citófono, Cocina Integral, Depósito / Bodega, Instalación de gas|Exteriores$En conjunto cerrado, Garaje(s), Jardín, Parqueadero Visitantes, Portería / Recepción, Vigilancia, Zonas Verdes|del Sector$Colegios / Universidades, Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Comercial, Zona Residencial",4.69605016708374,-74.06256103515629,4909090.91,0,1,3/16/2021 6:12:49 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6147634.aspx
119,GRUPO INMOBILIARIO G15,Venta,Apartamento,"Venta lindo ph duplex remodelado Pasadena. Tercería  161 mts2,  mas 2 terrazas c/u de 17 mts2 exclusivas del apto,   2 garajes en servidumbre 1 deposito Ascensor Duplex piso 5 y 6 En el primer piso: está la sala comedor,  baño social,  cocina integral cerrada , zona de ropas,  deposito,  cuarto y baño del servicio. En el segundo piso: está el estudio o sala de estar con salida a la primera terraza,   Luego esta un hall de alcobas amplio con mueble de linos y baño con tina para las 2 alcobas más la  alcoba principal con baño y con salida a la 2da terraza  de 17  mts 2 que se conecta con otra de las alcobas. Estrato 5  20 años de construido. Administración: 825.000 Precio de venta: 750 mill.",750000000,Professional,161,161,Carrera 51 # 103B - 71,"152,00 m2",3,3,16 a 30 años,23.0,5,825000,Pasadena,5,2,"Interiores$Baño Auxiliar, Calentador, Citófono, Closet, Cocina Integral, Cuarto de Servicio, Depósito / Bodega, Hall de Alcobas, Piso en Baldosa /  Mármol, Shut de basura|Exteriores$Ascensor, Circuito cerrado de TV, Portería / Vigilancia, Terraza|del Sector$Colegios / Universidades, Cómodas vias de acceso, Parques cercanos, Sobre vía secundaria, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial|#Apartamento#$Duplex",4.69199991226196,-74.06199645996091,4658385.09,1,1,3/13/2021 1:29:50 AM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6177629.aspx
